minimum_expected_pnl,minimum_probability_edge,side_filter,trades,yes_trades,no_trades,pnl,fees,capital,roi,fold_1_trades,fold_1_pnl,fold_1_roi,fold_2_trades,fold_2_pnl,fold_2_roi,fold_3_trades,fold_3_pnl,fold_3_roi,minimum_fold_trades,profitable_folds,worst_fold_roi
2.0,0.01,yes,53,53,0,15.920616422167459,28.299999999999986,558.3000000000002,0.0285162393375738,19,-3.1762857741036186,-0.015893348882179727,17,63.80721275527726,0.35608690638583224,17,-44.71031055900622,-0.24941599106887322,17,1,-0.24941599106887322
2.0,0.02,yes,53,53,0,15.920616422167459,28.299999999999986,558.3000000000002,0.0285162393375738,19,-3.1762857741036186,-0.015893348882179727,17,63.80721275527726,0.35608690638583224,17,-44.71031055900622,-0.24941599106887322,17,1,-0.24941599106887322
0.0,0.02,both,79,68,11,21.597083042446762,26.879999999999985,816.8800000000003,0.026438501423032456,27,1.92654300848152,0.00688813689614044,22,-8.286815635496751,-0.03646884493903424,30,27.95735566946199,0.09019665656685374,22,2,-0.03646884493903424
0.0,0.01,no,70,0,70,18.469829465780737,23.969999999999995,723.9700000000001,0.025511871300994148,26,3.526867104386918,0.013128600001440283,19,11.996194694706576,0.061120877845348635,25,2.946767666687232,0.011374846239045904,19,3,0.011374846239045904
0.25,0.02,no,66,0,66,16.481967922590282,21.35,681.3500000000001,0.02419016353209111,25,-27.939844092912516,-0.10834436207892242,18,27.147793975928504,0.14590881423158397,23,17.274018039574283,0.07276027985162496,18,2,-0.10834436207892242
0.0,0.075,yes,73,73,0,12.929919974650653,26.879999999999985,756.8800000000002,0.017083183562322496,25,19.2724258669392,0.07431049110059457,20,11.859081516539776,0.05700385270399815,28,-18.201587408828352,-0.06287466720380097,20,2,-0.06287466720380097
0.25,0.075,yes,73,73,0,12.929919974650653,26.879999999999985,756.8800000000002,0.017083183562322496,25,19.2724258669392,0.07431049110059457,20,11.859081516539776,0.05700385270399815,28,-18.201587408828352,-0.06287466720380097,20,2,-0.06287466720380097
0.5,0.075,yes,73,73,0,12.929919974650653,26.879999999999985,756.8800000000002,0.017083183562322496,25,19.2724258669392,0.07431049110059457,20,11.859081516539776,0.05700385270399815,28,-18.201587408828352,-0.06287466720380097,20,2,-0.06287466720380097
0.0,0.03,both,79,63,16,13.631035568590557,26.95999999999998,816.96,0.016685070956461216,27,-17.993591738132512,-0.06437087875409618,22,0.9457772824184367,0.00415890806217157,30,30.678850024304616,0.09895764797208119,22,2,-0.06437087875409618
0.25,0.03,both,79,63,16,13.601035568590556,26.98999999999998,816.99,0.01664773812236448,27,-17.993591738132512,-0.06437087875409618,22,0.9557772824184418,0.004203066325498865,30,30.63885002430461,0.0988158744252874,22,2,-0.06437087875409618
0.0,0.05,both,79,62,17,12.31736264294977,26.78999999999999,816.7900000000001,0.015080207449833823,27,-1.8999342807059572,-0.006800781331946726,22,-26.074270587023197,-0.11477361821913548,30,40.29156751067892,0.12987225216180673,22,1,-0.11477361821913548
0.25,0.05,both,79,62,17,12.31736264294977,26.78999999999999,816.7900000000001,0.015080207449833823,27,-1.8999342807059572,-0.006800781331946726,22,-26.074270587023197,-0.11477361821913548,30,40.29156751067892,0.12987225216180673,22,1,-0.11477361821913548
0.0,0.02,no,67,0,67,10.415726901678152,21.96,691.96,0.015052498557254974,25,-24.144671357151545,-0.09363843846093288,19,11.786194694706577,0.05998674009928022,23,22.774203564123123,0.09583892422725716,19,2,-0.09363843846093288
0.5,0.05,both,79,62,17,12.22736264294978,26.87999999999999,816.8800000000001,0.014968370682290885,27,-1.9899342807059535,-0.007120640809797299,22,-26.074270587023197,-0.11477361821913548,30,40.29156751067892,0.12987225216180673,22,1,-0.11477361821913548
0.5,0.01,no,66,0,66,9.430222908567387,23.639999999999997,683.6400000000003,0.013794135668725328,23,-13.834295608721872,-0.05820310323834352,19,14.964835453084437,0.07611431490302852,24,8.299683064204842,0.033286608904326796,19,2,-0.05820310323834352
1.0,0.01,yes,74,74,0,9.531196188400736,28.26999999999998,768.2700000000002,0.012406050201622781,26,8.67239737028666,0.03212355954471482,21,-7.218177170718899,-0.033045722523091604,27,8.076975988832904,0.028859741983181125,21,2,-0.033045722523091604
1.0,0.02,yes,74,74,0,9.531196188400736,28.26999999999998,768.2700000000002,0.012406050201622781,26,8.67239737028666,0.03212355954471482,21,-7.218177170718899,-0.033045722523091604,27,8.076975988832904,0.028859741983181125,21,2,-0.033045722523091604
1.0,0.03,yes,74,74,0,9.521196188400717,28.27999999999998,768.2800000000002,0.012392872635498405,26,8.67239737028666,0.03212355954471482,21,-7.228177170718904,-0.03308998887895488,27,8.076975988832904,0.028859741983181125,21,2,-0.03308998887895488
1.0,0.04,yes,74,74,0,9.521196188400717,28.279999999999976,768.2800000000002,0.012392872635498405,26,8.652397370286657,0.032047103115991904,21,-7.208177170718901,-0.033001452113903956,27,8.076975988832904,0.028859741983181125,21,2,-0.033001452113903956
0.0,0.075,both,77,60,17,9.612602693545442,26.069999999999986,796.0700000000005,0.012075072158912452,27,-23.490124458971184,-0.08418795949742378,21,-13.257361060491004,-0.06107975609532829,29,46.36008821300764,0.1545336273766921,21,1,-0.08418795949742378
0.25,0.075,both,77,60,17,9.612602693545442,26.069999999999986,796.0700000000005,0.012075072158912452,27,-23.490124458971184,-0.08418795949742378,21,-13.257361060491004,-0.06107975609532829,29,46.36008821300764,0.1545336273766921,21,1,-0.08418795949742378
0.5,0.075,both,77,60,17,9.612602693545442,26.069999999999986,796.0700000000005,0.012075072158912452,27,-23.490124458971184,-0.08418795949742378,21,-13.257361060491004,-0.06107975609532829,29,46.36008821300764,0.1545336273766921,21,1,-0.08418795949742378
1.0,0.02,both,78,59,19,9.701123090221403,28.039999999999985,808.0400000000003,0.012005746114327755,27,-60.899300242445435,-0.21760630401788544,21,-29.260376933506894,-0.13472869018098765,30,99.86080026617374,0.32109582079155535,21,1,-0.21760630401788544
1.0,0.03,both,78,59,19,9.701123090221403,28.039999999999985,808.0400000000003,0.012005746114327755,27,-60.899300242445435,-0.21760630401788544,21,-29.260376933506894,-0.13472869018098765,30,99.86080026617374,0.32109582079155535,21,1,-0.21760630401788544
1.0,0.04,both,78,59,19,9.701123090221403,28.039999999999985,808.0400000000003,0.012005746114327755,27,-60.899300242445435,-0.21760630401788544,21,-29.260376933506894,-0.13472869018098765,30,99.86080026617374,0.32109582079155535,21,1,-0.21760630401788544
1.5,0.075,yes,55,55,0,5.392991107454403,25.92999999999999,575.9300000000001,0.00936396976621187,19,1.6058411728609059,0.008065500617081398,16,0.5942457953961231,0.0035481597527831565,20,3.1929041391973563,0.015251512487209722,16,3,0.0035481597527831565
0.25,0.01,both,79,63,16,7.1675290750840635,26.929999999999982,816.93,0.008773737131803292,27,-17.993591738132512,-0.06437087875409618,22,-5.47772921108805,-0.024094876445359594,30,30.63885002430461,0.0988158744252874,22,1,-0.06437087875409618
0.25,0.02,both,79,63,16,7.1675290750840635,26.929999999999982,816.93,0.008773737131803292,27,-17.993591738132512,-0.06437087875409618,22,-5.47772921108805,-0.024094876445359594,30,30.63885002430461,0.0988158744252874,22,1,-0.06437087875409618
1.0,0.05,yes,74,74,0,3.6750132243593274,28.33999999999998,768.3400000000001,0.004783055970480942,26,-5.750679552790267,-0.021301179956255384,21,-8.499704264314953,-0.03890380933868067,27,17.925397041464485,0.06404443546201893,21,1,-0.03890380933868067
2.0,0.075,yes,49,49,0,-6.499679079432429,25.10999999999999,515.1100000000001,-0.012618040961022748,18,7.413714225896371,0.03917211363149303,15,21.738511456575967,0.1380573571483295,16,-35.65190476190476,-0.21172222080827102,15,2,-0.21172222080827102
0.25,0.01,no,69,0,69,-15.528032077409726,23.36,713.3600000000002,-0.02176745553074145,25,-27.939844092912516,-0.10834436207892242,19,16.537793975928505,0.08408905260552453,25,-4.125981960425707,-0.01594212727647969,19,1,-0.10834436207892242
0.0,0.01,both,79,68,11,-19.809311451381582,26.999999999999982,817.0000000000003,-0.024246403245265086,27,-17.73667482831417,-0.06341547723663402,22,-24.85025825844756,-0.1092799395710095,30,22.777621635380136,0.07349753681836706,22,1,-0.1092799395710095
0.0,0.04,both,79,59,20,-26.45568665602481,26.809999999999988,816.8100000000003,-0.032389033748392894,27,-51.665109871903255,-0.18498732454403394,22,-4.149009782254186,-0.018251043778886145,30,29.358432998132628,0.0946466133599814,22,1,-0.18498732454403394
