enabled,minimum_edge,confirmation_seconds,maximum_pre_event_trade_age_seconds,maximum_event_to_entry_seconds,invalidate_on_next_pitch,minimum_fair_move,momentum_exit_enabled,momentum_window_seconds,minimum_favorable_velocity,momentum_trailing_giveback,momentum_max_hold_seconds,minimum_momentum_trades,minimum_seconds_between_entries,allowed_event_types,maximum_hold_seconds,exit_target_mode,latch_reversion_exit,minimum_reversion_move,side_filter,position_sizing,minimum_edges_by_segment,confirmation_seconds_by_segment,minimum_reversion_moves_by_segment,trades,pnl,capital,fees,games,trades_per_game,roi,pnl_without_best_game,profitable_folds,worst_fold_roi,minimum_fold_trades_per_game
True,0.075,0.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",300.0,frozen,True,0.0,both,fixed_payout,{},{},{},169,3.0,870.4899999999998,47.79999999999999,918,0.1840958605664488,0.0034463348229158298,-3.3400000000000016,2,-0.08666360974921523,0.15755627009646303
True,0.075,1.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",0.0,dynamic,False,0.0,both,fixed_payout,{},{},{},146,45.68,752.77,34.61999999999999,918,0.15904139433551198,0.06068254579752116,35.13,2,-0.045146726862302484,0.13504823151125403
True,0.075,1.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",0.0,dynamic,True,0.0,both,fixed_payout,{},{},{},146,0.7500000000000071,752.77,36.449999999999996,918,0.15904139433551198,0.0009963202571834785,-7.859999999999996,2,-0.1074151369308744,0.13504823151125403
True,0.075,1.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",0.0,frozen,False,0.0,both,fixed_payout,{},{},{},146,25.130000000000003,752.77,34.37,918,0.15904139433551198,0.03338337075069411,15.66,2,-0.08232888964606669,0.13504823151125403
True,0.075,1.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",0.0,frozen,True,0.0,both,fixed_payout,{},{},{},146,-0.7499999999999929,752.77,36.15,918,0.15904139433551198,-0.0009963202571834596,-9.829999999999995,2,-0.14187145960219769,0.13504823151125403
True,0.075,1.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",120.0,dynamic,False,0.0,both,fixed_payout,{},{},{},146,20.780000000000026,752.77,42.32,918,0.15904139433551198,0.02760471325903002,17.240000000000023,2,-0.015588398143021409,0.13504823151125403
True,0.075,1.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",120.0,dynamic,True,0.0,both,fixed_payout,{},{},{},146,16.83000000000002,752.77,42.47,918,0.15904139433551198,0.022357426571197072,13.50000000000002,2,-0.034924826440649086,0.13504823151125403
True,0.075,1.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",120.0,frozen,False,0.0,both,fixed_payout,{},{},{},146,18.57000000000002,752.77,42.33,918,0.15904139433551198,0.02466888956786272,14.930000000000021,2,-0.02116785212317388,0.13504823151125403
True,0.075,1.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",120.0,frozen,True,0.0,both,fixed_payout,{},{},{},146,13.670000000000012,752.77,42.42999999999999,918,0.15904139433551198,0.018159597220930714,10.240000000000013,2,-0.034924826440649086,0.13504823151125403
True,0.075,1.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",300.0,dynamic,False,0.0,both,fixed_payout,{},{},{},146,4.980000000000011,752.77,40.62,918,0.15904139433551198,0.00661556650769825,-1.2399999999999913,2,-0.08880275991311382,0.13504823151125403
True,0.075,1.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",300.0,dynamic,True,0.0,both,fixed_payout,{},{},{},146,-8.519999999999998,752.77,41.12,918,0.15904139433551198,-0.011318198121604206,-15.120000000000001,2,-0.10950210826696198,0.13504823151125403
True,0.075,1.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",300.0,frozen,False,0.0,both,fixed_payout,{},{},{},146,-7.479999999999977,752.77,40.28,918,0.15904139433551198,-0.009936634031643101,-13.69999999999998,2,-0.1253460539205247,0.13504823151125403
True,0.075,1.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",300.0,frozen,True,0.0,both,fixed_payout,{},{},{},146,-18.080000000000005,752.77,40.68,918,0.15904139433551198,-0.0240179603331695,-24.300000000000008,2,-0.13092550790067722,0.13504823151125403
