horizon_seconds,minimum_fill_probability,minimum_expected_pnl,attempts,trades,pnl,capital,roi,fold_1_trades,fold_1_pnl,fold_1_roi,fold_2_trades,fold_2_pnl,fold_2_roi,fold_3_trades,fold_3_pnl,fold_3_roi,profitable_folds,minimum_fold_trades,worst_fold_roi
60,0.4,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.4,0.25,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.4,0.5,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.5,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.5,0.05,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.5,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.5,0.25,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.5,0.5,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.6,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.6,0.05,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.6,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.6,0.25,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
60,0.6,0.5,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0
10,0.1,0.0,1,1,-0.04,10.0,-0.004,1,-0.04,-0.004,0,0.0,0.0,0,0.0,0.0,0,0,-0.004
10,0.2,0.0,1,1,-0.04,10.0,-0.004,1,-0.04,-0.004,0,0.0,0.0,0,0.0,0.0,0,0,-0.004
10,0.3,0.0,1,1,-0.04,10.0,-0.004,1,-0.04,-0.004,0,0.0,0.0,0,0.0,0.0,0,0,-0.004
10,0.4,0.0,1,1,-0.04,10.0,-0.004,1,-0.04,-0.004,0,0.0,0.0,0,0.0,0.0,0,0,-0.004
10,0.5,0.0,1,1,-0.04,10.0,-0.004,1,-0.04,-0.004,0,0.0,0.0,0,0.0,0.0,0,0,-0.004
10,0.6,0.0,1,1,-0.04,10.0,-0.004,1,-0.04,-0.004,0,0.0,0.0,0,0.0,0.0,0,0,-0.004
10,0.6,-0.25,89,70,-11.263996603388026,700.0,-0.016091423719125753,18,-3.1687721646468825,-0.01760428980359379,27,-4.0645903992382655,-0.015054038515697279,25,-4.030634039502878,-0.016122536158011513,0,18,-0.01760428980359379
