reversion_fraction,state_exit,minimum_logit_residual,maximum_selected_entry_latency,maximum_inning,side_filter,trades,pnl,capital,roi,reversion_exits,thesis_invalidations,timeout_exits,fold_1_trades,fold_1_pnl,fold_1_roi,fold_2_trades,fold_2_pnl,fold_2_roi,fold_3_trades,fold_3_pnl,fold_3_roi,minimum_fold_trades,profitable_folds,worst_fold_roi
0.5,next_plate_appearance,0.2,7.0,9,no,17,19.694026872324507,170.0,0.1158472168960265,4,1,1,5,15.352321004494915,0.3070464200898983,6,-2.5450663637702204,-0.04241777272950367,6,6.886772231599819,0.11477953719333031,5,2,-0.04241777272950367
0.5,next_plate_appearance,0.2,7.0,99,no,17,19.694026872324507,170.0,0.1158472168960265,4,1,1,5,15.352321004494915,0.3070464200898983,6,-2.5450663637702204,-0.04241777272950367,6,6.886772231599819,0.11477953719333031,5,2,-0.04241777272950367
0.25,next_plate_appearance,0.16,10.0,9,no,24,27.594746388260837,240.0,0.11497810995108683,14,0,0,9,14.138136231486612,0.15709040257207346,7,4.5935842937483615,0.06562263276783374,8,8.863025863025863,0.11078782328782329,7,3,0.06562263276783374
0.25,next_plate_appearance,0.16,10.0,99,no,24,27.594746388260837,240.0,0.11497810995108683,14,0,0,9,14.138136231486612,0.15709040257207346,7,4.5935842937483615,0.06562263276783374,8,8.863025863025863,0.11078782328782329,7,3,0.06562263276783374
0.5,next_pitch,0.3,10.0,9,no,13,14.844645209862604,130.0,0.11418957853740465,3,0,4,7,13.766798418972332,0.19666854884246188,3,-2.2173913043478266,-0.07391304347826089,3,3.2952380952380955,0.10984126984126985,3,2,-0.07391304347826089
0.5,next_pitch,0.3,10.0,99,no,13,14.844645209862604,130.0,0.11418957853740465,3,0,4,7,13.766798418972332,0.19666854884246188,3,-2.2173913043478266,-0.07391304347826089,3,3.2952380952380955,0.10984126984126985,3,2,-0.07391304347826089
0.75,next_pitch,0.3,10.0,9,no,13,14.844645209862604,130.0,0.11418957853740465,2,0,5,7,13.766798418972332,0.19666854884246188,3,-2.2173913043478266,-0.07391304347826089,3,3.2952380952380955,0.10984126984126985,3,2,-0.07391304347826089
0.75,next_pitch,0.3,10.0,99,no,13,14.844645209862604,130.0,0.11418957853740465,2,0,5,7,13.766798418972332,0.19666854884246188,3,-2.2173913043478266,-0.07391304347826089,3,3.2952380952380955,0.10984126984126985,3,2,-0.07391304347826089
1.0,next_pitch,0.3,10.0,6,no,7,7.952305665349145,70.0,0.11360436664784493,2,0,3,3,6.303030303030303,0.2101010101010101,2,-0.21739130434782628,-0.010869565217391314,2,1.866666666666667,0.09333333333333335,2,2,-0.010869565217391314
0.25,none,0.2,10.0,9,no,20,22.69971005204804,200.0,0.1134985502602402,11,0,9,7,13.934292760379718,0.19906132514828168,6,-1.0066994804484544,-0.016778324674140907,7,9.772116772116771,0.13960166817309672,6,2,-0.016778324674140907
0.25,none,0.2,10.0,99,no,20,22.69971005204804,200.0,0.1134985502602402,11,0,9,7,13.934292760379718,0.19906132514828168,6,-1.0066994804484544,-0.016778324674140907,7,9.772116772116771,0.13960166817309672,6,2,-0.016778324674140907
1.0,none,0.3,10.0,6,no,7,7.770487483530962,70.0,0.11100696405044232,2,0,5,3,6.121212121212121,0.20404040404040405,2,-0.21739130434782628,-0.010869565217391314,2,1.866666666666667,0.09333333333333335,2,2,-0.010869565217391314
