reversion_fraction,state_exit,minimum_logit_residual,maximum_selected_entry_latency,maximum_inning,side_filter,trades,pnl,capital,roi,reversion_exits,thesis_invalidations,timeout_exits,fold_1_trades,fold_1_pnl,fold_1_roi,fold_2_trades,fold_2_pnl,fold_2_roi,fold_3_trades,fold_3_pnl,fold_3_roi,minimum_fold_trades,profitable_folds,worst_fold_roi
0.25,next_plate_appearance,0.04,10.0,9,no,29,26.929707723222176,290.0,0.09286106111455923,17,0,0,10,13.753520846871227,0.13753520846871228,9,4.075065775229842,0.045278508613664906,10,9.1011211011211,0.091011211011211,9,3,0.045278508613664906
0.25,next_plate_appearance,0.04,10.0,99,no,29,26.929707723222176,290.0,0.09286106111455923,17,0,0,10,13.753520846871227,0.13753520846871228,9,4.075065775229842,0.045278508613664906,10,9.1011211011211,0.091011211011211,9,3,0.045278508613664906
0.25,next_plate_appearance,0.08,10.0,9,no,29,26.929707723222176,290.0,0.09286106111455923,17,0,0,10,13.753520846871227,0.13753520846871228,9,4.075065775229842,0.045278508613664906,10,9.1011211011211,0.091011211011211,9,3,0.045278508613664906
0.25,next_plate_appearance,0.08,10.0,99,no,29,26.929707723222176,290.0,0.09286106111455923,17,0,0,10,13.753520846871227,0.13753520846871228,9,4.075065775229842,0.045278508613664906,10,9.1011211011211,0.091011211011211,9,3,0.045278508613664906
0.5,none,0.3,10.0,6,both,9,8.199058912102391,90.0,0.09110065457891546,3,0,6,4,7.12121212121212,0.178030303030303,2,-0.21739130434782628,-0.010869565217391314,3,1.2952380952380964,0.04317460317460321,2,2,-0.010869565217391314
0.75,none,0.3,10.0,6,both,9,8.199058912102391,90.0,0.09110065457891546,3,0,6,4,7.12121212121212,0.178030303030303,2,-0.21739130434782628,-0.010869565217391314,3,1.2952380952380964,0.04317460317460321,2,2,-0.010869565217391314
1.0,next_plate_appearance,0.3,10.0,6,both,9,8.16101357355149,90.0,0.09067792859501655,2,1,1,4,5.943622269203663,0.14859055673009158,2,0.21739130434782508,0.010869565217391254,3,2.0000000000000004,0.06666666666666668,2,3,0.010869565217391254
0.25,next_plate_appearance,0.3,7.0,9,no,6,5.438735177865609,60.0,0.09064558629776015,2,0,0,3,3.2213438735177835,0.10737812911725945,3,2.2173913043478244,0.07391304347826082,0,0.0,0.0,0,2,0.0
0.25,next_plate_appearance,0.3,7.0,99,no,6,5.438735177865609,60.0,0.09064558629776015,2,0,0,3,3.2213438735177835,0.10737812911725945,3,2.2173913043478244,0.07391304347826082,0,0.0,0.0,0,2,0.0
0.25,next_plate_appearance,0.2,10.0,6,no,9,8.136583223539745,90.0,0.09040648026155272,3,0,0,3,6.056721056721058,0.20189070189070193,3,0.47380156075808166,0.01579338535860272,3,1.6060606060606057,0.053535353535353526,3,3,0.01579338535860272
0.25,next_plate_appearance,0.12,10.0,9,no,28,25.263041056555505,280.0,0.09022514663055538,16,0,0,10,13.753520846871227,0.13753520846871228,9,4.075065775229842,0.045278508613664906,9,7.434454434454432,0.08260504927171591,9,3,0.045278508613664906
0.25,next_plate_appearance,0.12,10.0,99,no,28,25.263041056555505,280.0,0.09022514663055538,16,0,0,10,13.753520846871227,0.13753520846871228,9,4.075065775229842,0.045278508613664906,9,7.434454434454432,0.08260504927171591,9,3,0.045278508613664906
0.5,none,0.2,10.0,9,no,25,22.445917267227053,250.0,0.08978366906890821,9,0,15,9,12.567926394013348,0.1396436266001483,6,-3.349466776045941,-0.05582444626743235,10,13.227457649259652,0.13227457649259652,6,2,-0.05582444626743235
0.5,none,0.2,10.0,99,no,25,22.445917267227053,250.0,0.08978366906890821,9,0,15,9,12.567926394013348,0.1396436266001483,6,-3.349466776045941,-0.05582444626743235,10,13.227457649259652,0.13227457649259652,6,2,-0.05582444626743235
0.5,none,0.2,7.0,6,yes,3,2.673425499231951,30.0,0.0891141833077317,1,0,2,2,3.625806451612903,0.18129032258064515,1,-0.9523809523809519,-0.09523809523809519,0,0.0,0.0,0,1,-0.09523809523809519
0.75,none,0.2,7.0,6,yes,3,2.673425499231951,30.0,0.0891141833077317,1,0,2,2,3.625806451612903,0.18129032258064515,1,-0.9523809523809519,-0.09523809523809519,0,0.0,0.0,0,1,-0.09523809523809519
