inning_topbot_after,delta_inning,delta_outs,delta_score_diff,delta_runner_on_first,delta_runner_on_second,delta_runner_on_third,count_reset,transitions,mean,std,median,minimum,maximum,positive_rate
1.0,0,-2,0,-1.0,-1.0,0.0,False,75,0.024625981219612254,0.02068082499826167,0.021719732883676013,-0.0017590464997820354,0.07089749139662571,0.9333333333333333
1.0,0,-2,0,0.0,-1.0,0.0,False,74,0.020398845402027913,0.02009326238172274,0.01970983829909119,-0.002060396851372076,0.07265872569292131,0.8648648648648649
0.0,0,0,0,-1.0,0.0,1.0,False,74,0.0,0.0,-0.0,-0.0,-0.0,0.0
1.0,0,1,1,0.0,-1.0,0.0,True,73,0.07172015824557772,0.056621772315233874,0.07674901779601462,-0.006300953993981007,0.2100512280253769,0.7945205479452054
0.0,0,0,-1,-1.0,0.0,1.0,True,71,0.09654543230837649,0.07647601862388459,0.11433816736092428,-0.0,0.21593860897275485,0.7183098591549296
1.0,0,1,0,-1.0,0.0,0.0,False,69,-0.010460148376072082,0.008293537701042792,-0.00869785146720925,-0.021716647445826576,0.0,0.0
1.0,0,1,0,0.0,-1.0,1.0,False,67,-0.0064681484031020855,0.008343222672713925,0.0,-0.021716647445826576,0.0,0.0
1.0,0,0,1,-1.0,0.0,1.0,True,67,0.08909614881806803,0.05981328149724331,0.09530707619220047,0.0,0.1987147249085197,0.8208955223880597
0.0,1,-2,0,0.0,-1.0,0.0,False,64,0.024812588095862967,0.02045260032993886,0.022725117127308375,-0.00017993391805469494,0.07868786270639416,0.984375
0.0,1,-2,0,-1.0,-1.0,0.0,False,64,0.02133533467961874,0.014599838879916853,0.023094107928425256,-0.0006929016686079148,0.057899897942841894,0.9375
1.0,0,0,2,0.0,0.0,-1.0,True,62,0.15280400529270893,0.11557944897809376,0.1652210271253298,0.0,0.36483936077270696,0.7741935483870968
0.0,0,0,-3,-1.0,-1.0,0.0,True,58,0.21619994056450714,0.1624051942903247,0.21289211052032908,-0.0,0.5088249662169191,0.8275862068965517
0.0,0,0,-2,0.0,0.0,-1.0,True,58,0.1394403516590612,0.11210596584020861,0.1348058538221273,-0.0,0.3304569398685584,0.8103448275862069
0.0,1,-1,0,-1.0,-1.0,0.0,True,57,0.04220999717206876,0.023549007389076875,0.043418851459611774,0.0046716896217314785,0.09299660345336247,1.0
1.0,0,-1,0,-1.0,-1.0,0.0,True,54,0.03543445786867426,0.019825785006705586,0.039038738202346296,0.0033533437162881208,0.09005003964049507,1.0
1.0,0,0,2,-1.0,0.0,0.0,False,53,0.17440191233534208,0.10428890080103453,0.18943848975881872,0.0,0.3777446447807366,0.8867924528301887
1.0,0,1,0,-1.0,1.0,0.0,False,50,-0.005473618160403545,0.008046335182638918,0.0,-0.021716647445826576,0.0,0.0
0.0,0,0,-2,-1.0,0.0,0.0,False,50,0.15830647142619017,0.10679247058413055,0.17956404604049792,-0.0,0.3678614301808423,0.88
1.0,0,0,3,-1.0,-1.0,0.0,True,47,0.20171516393892774,0.16757975735549943,0.18691391602634133,0.0,0.4841742776117785,0.7446808510638298
0.0,1,-1,0,-1.0,0.0,0.0,False,47,0.03563598466856131,0.023053436151715036,0.041172189372011364,-0.0,0.09973242435463325,0.9787234042553191
0.0,0,0,-2,1.0,-1.0,-1.0,True,46,0.11736935939311287,0.11280802118113728,0.08929088039055477,-0.0,0.30815480322856814,0.6739130434782609
0.0,0,1,-1,0.0,0.0,-1.0,False,42,0.08787742071516762,0.059209878916036573,0.09447335447614941,-0.006048819436009101,0.19190083292664928,0.8571428571428571
0.0,0,1,0,-1.0,1.0,0.0,False,38,-0.00702379359852977,0.010223944056440604,-0.0,-0.02397835714428198,-0.0,0.0
1.0,0,-2,0,-1.0,0.0,-1.0,False,37,0.028483990086593358,0.023254860465062643,0.024910179254245962,-0.0017590464997820354,0.07265872569292131,0.8648648648648649
1.0,0,0,3,-1.0,0.0,-1.0,True,37,0.16868292972065208,0.15781313384975176,0.12321006567239148,0.0,0.4824248405079329,0.7567567567567568
1.0,0,0,2,1.0,-1.0,-1.0,True,36,0.13474591194890884,0.10176209503539195,0.15270271515902156,0.0,0.2882865158090232,0.8333333333333334
0.0,1,-2,0,0.0,0.0,-1.0,False,34,0.01834112007001632,0.015571821057624637,0.0176646071495985,-0.0012654481422391672,0.05578423235398344,0.9411764705882353
